EventID,DT,X,Y,Z,COA,COA_NORM,GAU_X,GAU_Y,GAU_Z,GAU_ErrX,GAU_ErrY,GAU_ErrZ,COV_ErrX,COV_ErrY,COV_ErrZ,COV_Err_XYZ,TRIG_COA,DEC_COA,DEC_COA_NORM
20090120001606892,2009-01-20T00:16:06.924000Z,-83.979869,-78.184685,1.845,10.07,11.75,-83.978674,-78.184158,1.8737,0.2376,0.1011,0.0702,0.0546,0.0671,0.0949,0.0703,5.265,4.361,5.265
20090120001611512,2009-01-20T00:16:11.500000Z,-83.789433,-78.159506,1.9,6.276,7.176,-83.790064,-78.159406,1.9069,0.2211,0.1026,0.0893,0.0576,0.075,0.1116,0.0784,3.809,3.243,3.809
20090120001707716,2009-01-20T00:17:07.752000Z,-83.979869,-78.18464,1.845,8.631,10.14,-83.980315,-78.184161,1.87,0.0794,0.1175,0.2884,0.0352,0.063,0.0729,0.0545,5.129,4.253,5.129
20090120001714912,2009-01-20T00:17:14.956000Z,-83.955439,-78.150341,1.99,13.79,16.2,-83.955714,-78.150316,1.9591,0.2039,0.0849,0.0899,0.0487,0.0587,0.0408,0.0489,5.286,4.349,5.286
20090120001729176,2009-01-20T00:17:29.180000Z,-84.018558,-78.139126,1.955,15.01,18.25,-84.015811,-78.139526,1.9418,0.1608,0.1024,0.0758,0.0246,0.0508,0.0317,0.0341,4.837,3.83,4.837
20090120001751232,2009-01-20T00:17:51.260000Z,-83.798811,-78.160091,1.76,10.54,12.22,-83.798687,-78.159416,1.8184,0.2446,0.1037,0.0813,0.054,0.0849,0.0766,0.0706,4.924,4.109,4.924
20090120001756348,2009-01-20T00:17:56.372000Z,-83.763669,-78.160928,1.815,44.89,50.77,-83.765784,-78.160501,1.8935,0.206,0.0904,0.0769,0.038,0.0401,0.0605,0.0452,8.139,6.758,8.139
20090120001758968,2009-01-20T00:17:59.016000Z,-83.795133,-78.131428,2.075,5.793,6.878,-83.792545,-78.131294,2.0459,0.0553,0.1354,0.1743,0.0659,0.0797,0.0495,0.0638,3.662,2.975,3.662
20090120001800524,2009-01-20T00:18:00.540000Z,-83.975061,-78.150202,1.95,6.307,7.321,-83.973955,-78.150081,1.9444,0.1684,0.1071,0.0805,0.061,0.067,0.0407,0.055,3.516,2.927,3.516
20090120001851492,2009-01-20T00:18:51.512000Z,-83.981181,-78.184684,1.875,6.896,7.755,-83.982507,-78.185056,1.8728,0.0754,0.1141,0.2207,0.0355,0.0697,0.0996,0.0627,3.891,3.36,3.891
20090120001854204,2009-01-20T00:18:54.212000Z,-84.008186,-78.14849,2.0,6.698,7.714,-84.009451,-78.148723,1.979,0.1803,0.0918,0.0756,0.0568,0.06,0.0374,0.0503,3.721,3.137,3.721
20090120001911024,2009-01-20T00:19:11.028000Z,-84.018341,-78.139215,1.955,16.31,18.93,-84.017057,-78.139826,1.9667,0.0734,0.0986,0.1624,0.0423,0.051,0.0399,0.0441,5.935,4.953,5.935
20090120001915324,2009-01-20T00:19:15.348000Z,-84.029423,-78.136703,1.955,7.326,8.493,-84.029819,-78.136739,1.9231,0.2009,0.0946,0.0794,0.0373,0.0536,0.0432,0.0442,4.328,3.646,4.328
20090120001940396,2009-01-20T00:19:40.432000Z,-83.980091,-78.185132,1.85,5.873,6.719,-83.978807,-78.184658,1.8308,0.0785,0.1323,0.3332,0.0805,0.1546,0.1803,0.1309,4.008,3.408,4.008
20090120002007912,2009-01-20T00:20:07.936000Z,-83.763234,-78.160883,1.86,36.87,42.28,-83.76372,-78.160596,1.9304,0.2181,0.113,0.0742,0.0305,0.0396,0.0674,0.0434,7.781,6.301,7.781
20090120002024652,2009-01-20T00:20:24.660000Z,-83.973097,-78.1498,1.98,6.238,7.214,-83.973115,-78.149857,1.9584,0.0715,0.1076,0.1644,0.0486,0.0607,0.0468,0.0517,3.405,2.872,3.405
20090120002034652,2009-01-20T00:20:34.696000Z,-83.979211,-78.184327,1.81,7.044,8.053,-83.977391,-78.183882,1.8409,0.0821,0.1266,0.3506,0.108,0.1168,0.1626,0.127,4.034,3.442,4.034
20090120002057624,2009-01-20T00:20:57.608000Z,-84.017037,-78.139529,1.96,10.75,12.51,-84.016864,-78.139809,1.9816,0.0738,0.1053,0.1745,0.045,0.0581,0.045,0.049,5.111,4.249,5.111
20090120002113460,2009-01-20T00:21:13.472000Z,-84.029199,-78.13612,1.95,14.15,16.35,-84.028905,-78.135802,1.919,0.1726,0.0994,0.0797,0.0351,0.053,0.0425,0.0429,5.332,4.388,5.332
20090120002114684,2009-01-20T00:21:14.700000Z,-83.955003,-78.150296,1.995,9.538,11.32,-83.954864,-78.150788,1.9615,0.1635,0.0759,0.0833,0.0361,0.0495,0.0414,0.042,4.142,3.364,4.142
20090120002116744,2009-01-20T00:21:16.780000Z,-83.980744,-78.184819,1.855,7.462,8.755,-83.981979,-78.184916,1.8727,0.0764,0.1121,0.2491,0.0454,0.0798,0.1138,0.0745,4.64,3.837,4.64
20090120002215308,2009-01-20T00:22:15.332000Z,-83.76367,-78.160838,1.885,36.39,43.09,-83.764669,-78.160634,1.9359,0.2341,0.0883,0.073,0.025,0.0342,0.0692,0.039,8.881,7.101,8.881
20090120002236840,2009-01-20T00:22:36.860000Z,-84.02624,-78.165456,2.03,7.429,8.491,-84.02874,-78.165931,1.9955,0.0661,0.1863,0.1539,0.0884,0.0791,0.0534,0.072,3.489,2.928,3.489
