EventID,DT,X,Y,Z,COA,COA_NORM,GAU_X,GAU_Y,GAU_Z,GAU_ErrX,GAU_ErrY,GAU_ErrZ,COV_ErrX,COV_ErrY,COV_ErrZ,COV_Err_XYZ,TRIG_COA,DEC_COA,DEC_COA_NORM,GlobalCovarianceProduct,GlobalCovarianceGeometricMean
20090120141133544,2009-01-20T14:11:33.536000Z,-84.012063,-78.16685,1.995,5.983,6.743,-84.009734,-78.166516,1.9994,0.0621,0.1408,0.1736,0.0654,0.0877,0.0532,0.0673,3.627,3.131,3.627,0.00030513285599999995,0.06732292727684247
20090120213524240,2009-01-20T21:35:24.280000Z,-83.798594,-78.159867,1.84,6.785,7.812,-83.800195,-78.159879,1.7819,0.0745,0.1405,0.274,0.2567,0.2133,0.1853,0.2165,3.985,3.351,3.985,0.010145936582999998,0.21648644783579887
20090120055349828,2009-01-20T05:53:49.864000Z,-83.938332,-78.187022,1.82,6.519,7.503,-83.939492,-78.186524,1.9089,0.0877,0.1244,0.4521,0.088,0.1433,0.2525,0.1471,4.16,3.514,4.16,0.0031841260000000002,0.14711718793299897
20090120032812788,2009-01-20T03:28:12.816000Z,-83.960096,-78.16597,1.845,5.148,5.871,-83.962098,-78.166676,1.792,0.0762,0.1469,0.2471,0.1332,0.1193,0.1025,0.1176,4.02,3.44,4.02,0.0016288029,0.11765837463558011
20090120042056320,2009-01-20T04:20:56.336000Z,-84.034694,-78.179514,1.995,6.57,7.589,-84.034795,-78.179514,1.9939,0.0654,0.1608,0.242,0.0779,0.1008,0.1092,0.095,3.727,3.137,3.727,0.000857473344,0.09500363214183206
20090120130937076,2009-01-20T13:09:37.084000Z,-84.064024,-78.150702,2.03,5.746,6.569,-84.064606,-78.150596,2.0296,0.0668,0.1329,0.1809,0.0654,0.074,0.0405,0.0581,3.534,2.984,3.534,0.0001960038,0.05808823273092851
20090120094401864,2009-01-20T09:44:01.868000Z,-83.903333,-78.162393,1.85,7.351,8.628,-83.904521,-78.162516,1.8611,0.29,0.0972,0.0848,0.0802,0.0922,0.1087,0.093,4.703,3.883,4.703,0.0008037756279999999,0.0929775884640224
20090120132515720,2009-01-20T13:25:15.732000Z,-83.957478,-78.166284,1.79,19.92,23.78,-83.95959,-78.16603,1.8201,0.0676,0.1037,0.2143,0.0317,0.0544,0.0524,0.0449,7.122,5.76,7.122,9.036275199999999e-05,0.04487417558870622
20090120133838872,2009-01-20T13:38:38.892000Z,-84.00232,-78.176482,1.92,18.44,21.01,-84.003032,-78.176256,1.928,0.0679,0.1107,0.1831,0.025,0.048,0.0454,0.0379,6.786,5.733,6.786,5.448000000000001e-05,0.03790929427702478
20090120043857268,2009-01-20T04:38:57.284000Z,-83.970043,-78.149666,1.92,6.669,7.646,-83.968481,-78.149544,1.8965,0.0672,0.1556,0.1922,0.0558,0.0756,0.0447,0.0574,3.517,2.96,3.517,0.000188566056,0.05734398092614403
20090120175908472,2009-01-20T17:59:08.520000Z,-83.957912,-78.165791,1.84,5.087,5.916,-83.958328,-78.165782,1.7998,0.0664,0.1448,0.2056,0.095,0.1862,0.0755,0.1101,3.372,2.814,3.372,0.0013355195,0.11012436347675002
20090120062929464,2009-01-20T06:29:29.452000Z,-84.038186,-78.141177,2.045,6.492,7.56,-84.040717,-78.140576,2.0204,0.0725,0.1592,0.2553,0.0792,0.0974,0.0599,0.0773,3.561,2.96,3.561,0.0004620733920000001,0.07731023385261848
20090120033921548,2009-01-20T03:39:21.576000Z,-84.015733,-78.139843,1.935,24.46,27.98,-84.014744,-78.139971,1.9077,0.0675,0.1073,0.1572,0.0296,0.0421,0.0474,0.0389,6.955,5.867,6.955,5.9067984e-05,0.03894491104457626
20090120201601220,2009-01-20T20:16:01.236000Z,-84.026467,-78.166306,2.05,5.07,5.849,-84.024368,-78.166136,2.0678,0.2123,0.1562,0.0617,0.2507,0.4726,0.0999,0.2279,3.338,2.812,3.338,0.011836233918,0.22789660027519615
20090120000733092,2009-01-20T00:07:33.128000Z,-83.980309,-78.185088,1.855,6.839,7.948,-83.979795,-78.184767,1.8637,0.0689,0.1208,0.2656,0.2469,0.8871,0.1578,0.3257,4.456,3.737,4.456,0.034562143422,0.32573684781333295
20090120022930356,2009-01-20T02:29:30.344000Z,-83.881293,-78.160467,1.79,6.195,7.146,-83.881836,-78.160479,1.7654,0.2541,0.0903,0.0838,0.0486,0.0713,0.1029,0.0709,4.094,3.416,4.094,0.00035656702200000004,0.0709110187291905
